user_id,book_id,borrow_date,return_date,borrow_date,borrow_month,borrow_year,pages,reservation_status,overdue_status,user_role,book_category,book_holding_days
30,198,3/13/2023,3/29/2023,13,3,2023,456,TRUE,1,student,non-fiction,16
68,45,4/2/2022,4/7/2022,2,4,2022,116,TRUE,0,student,art,5
97,42,6/6/2023,6/8/2023,6,6,2023,102,TRUE,0,faculty,history,2
86,69,10/5/2022,10/24/2022,5,10,2022,544,FALSE,1,student,non-fiction,19
85,156,7/4/2020,7/9/2020,4,7,2020,107,FALSE,0,student,fiction,5
55,90,10/28/2023,11/15/2023,28,10,2023,369,FALSE,1,student,art,18
71,84,4/11/2023,4/30/2023,11,4,2023,552,FALSE,1,staff,science,19
42,191,7/21/2023,8/9/2023,21,7,2023,429,FALSE,1,staff,fiction,19
97,129,9/1/2022,9/16/2022,1,9,2022,425,TRUE,1,student,non-fiction,15
36,101,7/10/2023,7/16/2023,10,7,2023,191,FALSE,0,student,science,6
85,169,8/19/2022,9/5/2022,19,8,2022,451,TRUE,1,faculty,history,17
16,39,5/3/2022,5/10/2022,3,5,2022,218,FALSE,0,faculty,history,7
54,192,12/14/2022,12/19/2022,14,12,2022,181,TRUE,0,faculty,science,5
67,109,1/9/2022,1/14/2022,9,1,2022,193,FALSE,0,staff,non-fiction,5
22,124,6/10/2020,6/19/2020,10,6,2020,294,FALSE,1,staff,science,9
99,169,7/4/2022,7/21/2022,4,7,2022,461,TRUE,1,faculty,non-fiction,17
86,49,7/27/2020,8/8/2020,27,7,2020,280,FALSE,1,faculty,art,12
64,19,1/16/2024,1/18/2024,16,1,2024,63,FALSE,0,student,fiction,2
38,49,1/3/2025,1/19/2025,3,1,2025,388,FALSE,1,faculty,fiction,16
99,163,11/11/2023,11/27/2023,11,11,2023,470,FALSE,1,faculty,science,16
51,42,7/24/2023,7/27/2023,24,7,2023,108,TRUE,0,staff,history,3
38,105,9/10/2021,9/16/2021,10,9,2021,143,TRUE,0,student,art,6
14,59,10/25/2021,11/11/2021,25,10,2021,498,TRUE,1,faculty,non-fiction,17
19,84,2/27/2020,3/9/2020,27,2,2020,322,TRUE,1,faculty,non-fiction,11
65,15,3/28/2025,3/29/2025,28,3,2025,50,FALSE,0,student,art,1
32,95,8/3/2023,8/21/2023,3,8,2023,517,TRUE,1,faculty,science,18
33,70,7/6/2021,7/9/2021,6,7,2021,137,FALSE,0,student,science,3
84,18,10/6/2020,10/15/2020,6,10,2020,233,TRUE,1,faculty,fiction,9
93,172,8/5/2020,8/7/2020,5,8,2020,104,FALSE,0,staff,non-fiction,2
22,133,2/4/2024,2/18/2024,4,2,2024,373,TRUE,1,faculty,history,14
72,173,12/29/2024,12/30/2024,29,12,2024,97,TRUE,0,staff,fiction,1
22,135,7/3/2020,7/19/2020,3,7,2020,443,TRUE,1,staff,non-fiction,16
19,60,9/13/2024,9/25/2024,13,9,2024,356,FALSE,1,faculty,science,12
27,39,6/11/2021,6/26/2021,11,6,2021,318,FALSE,1,faculty,art,15
63,65,3/17/2022,4/5/2022,17,3,2022,538,TRUE,1,faculty,non-fiction,19
84,10,7/30/2021,8/6/2021,30,7,2021,253,FALSE,0,student,science,7
73,156,4/29/2020,5/18/2020,29,4,2020,548,TRUE,1,student,science,19
60,183,12/14/2021,12/20/2021,14,12,2021,183,TRUE,0,staff,non-fiction,6
50,113,11/2/2024,11/12/2024,2,11,2024,219,TRUE,1,student,art,10
41,189,11/24/2022,12/1/2022,24,11,2022,186,TRUE,0,faculty,art,7
50,7,1/19/2024,1/26/2024,19,1,2024,198,TRUE,0,student,fiction,7
71,60,1/29/2022,2/15/2022,29,1,2022,444,FALSE,1,staff,history,17
97,149,6/10/2020,6/11/2020,10,6,2020,53,TRUE,0,student,history,1
62,193,1/31/2020,2/12/2020,31,1,2020,323,FALSE,1,student,history,12
31,93,1/2/2025,1/12/2025,2,1,2025,301,TRUE,1,staff,non-fiction,10
96,199,12/27/2022,1/14/2023,27,12,2022,462,TRUE,1,student,history,18
37,36,1/27/2021,2/2/2021,27,1,2021,170,FALSE,0,student,art,6
13,183,4/12/2023,4/22/2023,12,4,2023,303,FALSE,1,faculty,non-fiction,10
30,157,5/31/2023,6/11/2023,31,5,2023,351,FALSE,1,staff,science,11
85,5,1/20/2020,2/2/2020,20,1,2020,392,TRUE,1,staff,science,13
66,73,7/1/2023,7/10/2023,1,7,2023,231,TRUE,1,faculty,fiction,9
70,88,12/4/2023,12/13/2023,4,12,2023,226,FALSE,1,student,art,9
59,121,3/14/2022,4/2/2022,14,3,2022,386,TRUE,1,student,art,19
82,53,3/28/2024,4/4/2024,28,3,2024,169,TRUE,0,staff,art,7
90,23,10/2/2020,10/9/2020,2,10,2020,215,TRUE,0,faculty,non-fiction,7
42,159,11/17/2022,12/7/2022,17,11,2022,565,TRUE,1,staff,science,20
53,145,1/4/2021,1/8/2021,4,1,2021,129,TRUE,0,staff,history,4
62,27,3/26/2022,4/14/2022,26,3,2022,439,FALSE,1,student,art,19
32,104,1/21/2024,2/8/2024,21,1,2024,442,FALSE,1,student,history,18
13,95,9/24/2024,10/7/2024,24,9,2024,327,FALSE,1,staff,fiction,13
25,175,7/27/2020,8/7/2020,27,7,2020,238,FALSE,1,faculty,fiction,11
13,69,6/24/2021,7/14/2021,24,6,2021,546,FALSE,1,staff,non-fiction,20
1,85,8/27/2022,9/3/2022,27,8,2022,187,TRUE,0,staff,fiction,7
39,87,6/15/2022,6/16/2022,15,6,2022,66,TRUE,0,staff,art,1
95,16,6/29/2022,6/30/2022,29,6,2022,78,FALSE,0,student,history,1
20,75,10/30/2023,11/4/2023,30,10,2023,149,TRUE,0,faculty,art,5
31,167,12/14/2020,12/18/2020,14,12,2020,128,TRUE,0,staff,history,4
41,162,6/8/2020,6/17/2020,8,6,2020,277,FALSE,1,staff,science,9
26,5,11/8/2024,11/21/2024,8,11,2024,407,TRUE,1,student,science,13
6,25,5/29/2023,6/10/2023,29,5,2023,346,FALSE,1,faculty,non-fiction,12
15,178,8/28/2022,9/12/2022,28,8,2022,310,FALSE,1,student,art,15
2,177,1/3/2025,1/21/2025,3,1,2025,437,FALSE,1,student,history,18
73,74,5/13/2021,5/27/2021,13,5,2021,384,TRUE,1,student,non-fiction,14
22,122,10/7/2023,10/12/2023,7,10,2023,144,FALSE,0,staff,art,5
34,61,10/27/2024,10/29/2024,27,10,2024,103,TRUE,0,faculty,science,2
72,107,5/9/2023,5/17/2023,9,5,2023,207,TRUE,1,student,art,8
77,173,3/4/2022,3/22/2022,4,3,2022,494,FALSE,1,student,non-fiction,18
28,32,1/29/2020,2/5/2020,29,1,2020,226,FALSE,0,student,non-fiction,7
9,180,11/11/2022,11/27/2022,11,11,2022,384,TRUE,1,student,fiction,16
100,191,1/19/2023,1/30/2023,19,1,2023,262,FALSE,1,staff,fiction,11
76,66,8/4/2023,8/6/2023,4,8,2023,109,FALSE,0,staff,science,2
64,79,1/11/2022,1/20/2022,11,1,2022,262,FALSE,1,faculty,non-fiction,9
43,159,4/20/2023,5/10/2023,20,4,2023,425,TRUE,1,faculty,art,20
79,197,11/12/2020,11/13/2020,12,11,2020,50,TRUE,0,faculty,art,1
59,144,11/6/2021,11/26/2021,6,11,2021,482,FALSE,1,student,history,20
97,142,7/2/2023,7/18/2023,2,7,2023,479,FALSE,1,student,science,16
100,198,1/31/2022,2/9/2022,31,1,2022,241,FALSE,1,staff,history,9
26,27,11/21/2022,12/5/2022,21,11,2022,331,FALSE,1,staff,fiction,14
86,83,8/9/2023,8/22/2023,9,8,2023,400,TRUE,1,student,science,13
98,89,7/11/2021,7/18/2021,11,7,2021,192,FALSE,0,student,fiction,7
60,96,2/28/2020,3/9/2020,28,2,2020,285,TRUE,1,student,history,10
75,35,6/12/2023,6/17/2023,12,6,2023,141,TRUE,0,faculty,fiction,5
73,84,9/4/2020,9/18/2020,4,9,2020,306,FALSE,1,staff,art,14
38,1,11/5/2024,11/6/2024,5,11,2024,54,TRUE,0,faculty,art,1
76,27,5/10/2021,5/15/2021,10,5,2021,150,TRUE,0,staff,science,5
28,94,9/13/2023,9/24/2023,13,9,2023,242,TRUE,1,faculty,fiction,11
8,160,9/30/2024,10/13/2024,30,9,2024,270,TRUE,1,staff,art,13
29,150,9/22/2024,9/30/2024,22,9,2024,209,TRUE,1,student,history,8
14,91,5/26/2020,5/29/2020,26,5,2020,129,TRUE,0,student,non-fiction,3
54,23,4/13/2024,5/2/2024,13,4,2024,419,TRUE,1,faculty,fiction,19
85,29,7/6/2021,7/16/2021,6,7,2021,292,FALSE,1,student,non-fiction,10
65,91,2/24/2021,2/26/2021,24,2,2021,120,TRUE,0,student,non-fiction,2
82,141,10/27/2023,11/16/2023,27,10,2023,498,FALSE,1,staff,history,20
56,110,1/4/2023,1/15/2023,4,1,2023,338,TRUE,1,faculty,non-fiction,11
45,32,9/7/2021,9/21/2021,7,9,2021,383,TRUE,1,student,non-fiction,14
34,85,2/24/2023,3/12/2023,24,2,2023,467,TRUE,1,staff,science,16
89,188,4/6/2024,4/15/2024,6,4,2024,233,TRUE,1,student,history,9
32,131,3/24/2023,4/1/2023,24,3,2023,221,TRUE,1,faculty,history,8
80,173,10/30/2020,11/17/2020,30,10,2020,538,FALSE,1,faculty,science,18
15,117,4/5/2024,4/17/2024,5,4,2024,334,TRUE,1,student,science,12
63,71,7/31/2022,8/13/2022,31,7,2022,318,FALSE,1,staff,fiction,13
73,4,5/10/2024,5/26/2024,10,5,2024,416,FALSE,1,student,history,16
79,33,9/14/2022,9/22/2022,14,9,2022,216,FALSE,1,faculty,history,8
14,139,2/22/2020,3/10/2020,22,2,2020,409,FALSE,1,student,history,17
52,32,9/18/2021,10/2/2021,18,9,2021,367,FALSE,1,faculty,history,14
85,49,10/15/2020,10/29/2020,15,10,2020,408,TRUE,1,faculty,science,14
86,55,7/16/2022,8/1/2022,16,7,2022,416,FALSE,1,faculty,history,16
11,121,3/10/2022,3/14/2022,10,3,2022,116,TRUE,0,student,art,4
35,188,4/7/2022,4/18/2022,7,4,2022,367,TRUE,1,staff,science,11
76,3,10/4/2023,10/7/2023,4,10,2023,91,TRUE,0,student,art,3
53,102,7/8/2024,7/9/2024,8,7,2024,50,TRUE,0,staff,art,1
100,8,2/4/2023,2/10/2023,4,2,2023,184,FALSE,0,student,history,6
42,107,10/21/2021,11/9/2021,21,10,2021,531,TRUE,1,staff,non-fiction,19
68,101,7/23/2021,8/2/2021,23,7,2021,258,TRUE,1,student,art,10
48,77,2/2/2022,2/10/2022,2,2,2022,220,FALSE,1,staff,fiction,8
90,74,8/13/2023,8/14/2023,13,8,2023,62,FALSE,0,faculty,art,1
8,57,6/26/2023,7/1/2023,26,6,2023,169,FALSE,0,faculty,fiction,5
85,154,7/17/2023,7/22/2023,17,7,2023,151,TRUE,0,staff,non-fiction,5
77,102,3/23/2021,4/3/2021,23,3,2021,327,FALSE,1,faculty,science,11
49,55,4/8/2021,4/18/2021,8,4,2021,256,FALSE,1,faculty,history,10
72,179,11/19/2024,11/21/2024,19,11,2024,73,TRUE,0,staff,fiction,2
34,10,12/11/2022,12/19/2022,11,12,2022,202,FALSE,1,staff,history,8
27,100,11/21/2024,12/9/2024,21,11,2024,513,FALSE,1,faculty,non-fiction,18
9,55,4/16/2022,4/24/2022,16,4,2022,244,FALSE,1,faculty,non-fiction,8
67,163,3/23/2025,4/12/2025,23,3,2025,550,FALSE,1,student,science,20
88,177,12/27/2021,1/12/2022,27,12,2021,354,FALSE,1,student,fiction,16
82,54,7/23/2023,7/29/2023,23,7,2023,212,FALSE,0,student,science,6
78,76,6/8/2021,6/22/2021,8,6,2021,433,TRUE,1,student,science,14
62,157,11/12/2023,11/25/2023,12,11,2023,411,TRUE,1,student,non-fiction,13
54,51,6/9/2022,6/26/2022,9,6,2022,529,TRUE,1,faculty,non-fiction,17
47,55,10/15/2024,10/23/2024,15,10,2024,213,FALSE,1,student,fiction,8
52,109,8/14/2022,9/2/2022,14,8,2022,417,FALSE,1,faculty,fiction,19
94,116,9/24/2020,10/13/2020,24,9,2020,397,FALSE,1,student,fiction,19
58,37,11/24/2024,12/4/2024,24,11,2024,317,TRUE,1,faculty,science,10
69,195,2/5/2022,2/24/2022,5,2,2022,466,TRUE,1,staff,history,19
39,137,7/29/2024,8/17/2024,29,7,2024,519,TRUE,1,staff,non-fiction,19
26,60,2/4/2025,2/17/2025,4,2,2025,364,TRUE,1,faculty,non-fiction,13
78,167,1/27/2025,2/5/2025,27,1,2025,224,TRUE,1,staff,fiction,9
82,192,10/2/2023,10/12/2023,2,10,2023,266,TRUE,1,staff,fiction,10
38,150,9/17/2023,9/18/2023,17,9,2023,62,TRUE,0,staff,fiction,1
45,195,5/6/2023,5/12/2023,6,5,2023,204,FALSE,0,staff,science,6
35,157,12/23/2023,1/4/2024,23,12,2023,270,TRUE,1,staff,fiction,12
12,137,10/7/2024,10/24/2024,7,10,2024,467,TRUE,1,staff,science,17
56,144,3/3/2023,3/17/2023,3,3,2023,304,TRUE,1,student,art,14
96,162,11/2/2021,11/14/2021,2,11,2021,364,FALSE,1,faculty,science,12
60,33,4/15/2021,4/22/2021,15,4,2021,216,TRUE,0,student,fiction,7
50,26,7/18/2022,8/1/2022,18,7,2022,316,FALSE,1,staff,art,14
7,193,3/28/2023,4/6/2023,28,3,2023,232,TRUE,1,staff,art,9
24,196,5/14/2023,5/20/2023,14,5,2023,146,TRUE,0,student,art,6
3,87,8/4/2024,8/13/2024,4,8,2024,193,TRUE,1,faculty,art,9
44,119,12/26/2023,12/29/2023,26,12,2023,83,TRUE,0,faculty,fiction,3
91,32,9/17/2024,9/22/2024,17,9,2024,159,FALSE,0,student,non-fiction,5
97,15,3/11/2022,3/12/2022,11,3,2022,103,FALSE,0,student,history,1
80,77,6/23/2024,7/1/2024,23,6,2024,244,TRUE,1,student,science,8
64,113,11/4/2023,11/6/2023,4,11,2023,91,TRUE,0,faculty,art,2
